Instance  0: p_3=-62.41212, p_4=-64.97832
Instance  1: p_3=-62.41212, p_4=-64.97832
Instance  2: p_3=-62.41212, p_4=-64.97832
Instance  3: p_3=-62.41212, p_4=-64.97832
Instance  4: p_3=-62.41212, p_4=-64.97832
Instance  5: p_3=-62.41212, p_4=-64.97832
Instance  6: p_3=-62.41212, p_4=-64.97832
Instance  7: p_3=-62.41212, p_4=-64.97832
Instance  8: p_3=-62.41212, p_4=-64.97832
Instance  9: p_3=-62.41212, p_4=-64.97832
Instance 10: p_3=-62.41212, p_4=-64.97832
Instance 11: p_3=-62.41212, p_4=-64.97832
Instance 12: p_3=-62.41212, p_4=-64.97832
Instance 13: p_3=-62.41212, p_4=-64.97832
Instance 14: p_3=-62.41212, p_4=-64.97832
Instance 15: p_3=-62.41212, p_4=-64.97832
Instance 16: p_3=-62.41212, p_4=-64.97832
Instance 17: p_3=-62.41212, p_4=-64.97832
Instance 18: p_3=-62.41212, p_4=-64.97832
Instance 19: p_3=-62.41212, p_4=-64.97832
Instance 20: p_3=-62.41212, p_4=-64.97832
Instance 21: p_3=-62.41212, p_4=-64.97832
Instance 22: p_3=-62.41212, p_4=-64.97832
Instance 23: p_3=-62.41212, p_4=-64.97832
Instance 24: p_3=-62.41212, p_4=-64.97832
Instance 25: p_3=-62.41212, p_4=-64.97832
Instance 26: p_3=-62.41212, p_4=-64.97832
Instance 27: p_3=-62.41212, p_4=-64.97832
Instance 28: p_3=-62.41212, p_4=-64.97832
Instance 29: p_3=-62.41212, p_4=-64.97832
Instance 30: p_3=-62.41212, p_4=-64.97832
Instance 31: p_3=-62.41212, p_4=-64.97832
Instance 32: p_3=-62.41212, p_4=-64.97832
Instance 33: p_3=-62.41212, p_4=-64.97832
Instance 34: p_3=-62.41212, p_4=-64.97832
Instance 35: p_3=-62.41212, p_4=-64.97832
Instance 36: p_3=-62.41212, p_4=-64.97832
Instance 37: p_3=-62.41212, p_4=-64.97832
Instance 38: p_3=-62.41212, p_4=-64.97832
Instance 39: p_3=-62.41212, p_4=-64.97832
Instance 40: p_3=-62.41212, p_4=-64.97832
Instance 41: p_3=-62.41212, p_4=-64.97832
Instance 42: p_3=-62.41212, p_4=-64.97832
Instance 43: p_3=-62.41212, p_4=-64.97832
Instance 44: p_3=-62.41212, p_4=-64.97832
Instance 45: p_3=-62.41212, p_4=-64.97832
Instance 46: p_3=-62.41212, p_4=-64.97832
Instance 47: p_3=-62.41212, p_4=-64.97832
Instance 48: p_3=-62.41212, p_4=-64.97832
Instance 49: p_3=-62.41212, p_4=-64.97832
Instance 50: p_3=-62.41212, p_4=-64.97832
Instance 51: p_3=-62.41212, p_4=-64.97832
Instance 52: p_3=-62.41212, p_4=-64.97832
Instance 53: p_3=-62.41212, p_4=-64.97832
Instance 54: p_3=-62.41212, p_4=-64.97832
Instance 55: p_3=-62.41212, p_4=-64.97832
Instance 56: p_3=-62.41212, p_4=-64.97832
Instance 57: p_3=-62.41212, p_4=-64.97832
Instance 58: p_3=-62.41212, p_4=-64.97832
Instance 59: p_3=-62.41212, p_4=-64.97832
Instance 60: p_3=-62.41212, p_4=-64.97832
Instance 61: p_3=-62.41212, p_4=-64.97832
Instance 62: p_3=-62.41212, p_4=-64.97832
Instance 63: p_3=-62.41212, p_4=-64.97832
Instance 64: p_3=-62.41212, p_4=-64.97832
Instance 65: p_3=-62.41212, p_4=-64.97832
Instance 66: p_3=-62.41212, p_4=-64.97832
Instance 67: p_3=-62.41212, p_4=-64.97832
Instance 68: p_3=-62.41212, p_4=-64.97832
Instance 69: p_3=-62.41212, p_4=-64.97832
Instance 70: p_3=-62.41212, p_4=-64.97832
Instance 71: p_3=-62.41212, p_4=-64.97832
Instance 72: p_3=-62.41212, p_4=-64.97832
Instance 73: p_3=-62.41212, p_4=-64.97832
Instance 74: p_3=-62.41212, p_4=-64.97832
Instance 75: p_3=-62.41212, p_4=-64.97832
Instance 76: p_3=-62.41212, p_4=-64.97832
Instance 77: p_3=-62.41212, p_4=-64.97832
Instance 78: p_3=-62.41212, p_4=-64.97832
Instance 79: p_3=-62.41212, p_4=-64.97832
Instance 80: p_3=-62.41212, p_4=-64.97832
Instance 81: p_3=-62.41212, p_4=-64.97832
Instance 82: p_3=-62.41212, p_4=-64.97832
Instance 83: p_3=-62.41212, p_4=-64.97832
Instance 84: p_3=-62.41212, p_4=-64.97832
Instance 85: p_3=-62.41212, p_4=-64.97832
Instance 86: p_3=-62.41212, p_4=-64.97832
Instance 87: p_3=-62.41212, p_4=-64.97832
Instance 88: p_3=-62.41212, p_4=-64.97832
Instance 89: p_3=-62.41212, p_4=-64.97832
Instance 90: p_3=-62.41212, p_4=-64.97832
Instance 91: p_3=-62.41212, p_4=-64.97832
Instance 92: p_3=-62.41212, p_4=-64.97832
Instance 93: p_3=-62.41212, p_4=-64.97832
Instance 94: p_3=-62.41212, p_4=-64.97832
Instance 95: p_3=-62.41212, p_4=-64.97832
Instance 96: p_3=-62.41212, p_4=-64.97832
Instance 97: p_3=-62.41212, p_4=-64.97832
Instance 98: p_3=-62.41212, p_4=-64.97832
Instance 99: p_3=-62.41212, p_4=-64.97832
Instance 100: p_3=-62.41212, p_4=-64.97832
Instance 101: p_3=-62.41212, p_4=-64.97832
Instance 102: p_3=-62.41212, p_4=-64.97832
Instance 103: p_3=-62.41212, p_4=-64.97832
Instance 104: p_3=-62.41212, p_4=-64.97832
Instance 105: p_3=-62.41212, p_4=-64.97832
Instance 106: p_3=-62.41212, p_4=-64.97832
Instance 107: p_3=-62.41212, p_4=-64.97832
Instance 108: p_3=-62.41212, p_4=-64.97832
Instance 109: p_3=-62.41212, p_4=-64.97832
Instance 110: p_3=-62.41212, p_4=-64.97832
Instance 111: p_3=-62.41212, p_4=-64.97832
Instance 112: p_3=-62.41212, p_4=-64.97832
Instance 113: p_3=-62.41212, p_4=-64.97832
Instance 114: p_3=-62.41212, p_4=-64.97832
Instance 115: p_3=-62.41212, p_4=-64.97832
Instance 116: p_3=-62.41212, p_4=-64.97832
Instance 117: p_3=-62.41212, p_4=-64.97832
Instance 118: p_3=-62.41212, p_4=-64.97832
Instance 119: p_3=-62.41212, p_4=-64.97832
Instance 120: p_3=-62.41212, p_4=-64.97832
Instance 121: p_3=-62.41212, p_4=-64.97832
Instance 122: p_3=-62.41212, p_4=-64.97832
Instance 123: p_3=-62.41212, p_4=-64.97832
Instance 124: p_3=-62.41212, p_4=-64.97832
Instance 125: p_3=-62.41212, p_4=-64.97832
Instance 126: p_3=-62.41212, p_4=-64.97832
Instance 127: p_3=-62.41212, p_4=-64.97832
Instance 128: p_3=-62.41212, p_4=-64.97832
